id,name,description,longitude,latitude,image_url,article_url,source,source_url
Q31724515,জগদীশ চন্দ্র বসু স্মৃতি জাদুঘর,বাংলাদেশের একটি প্রত্নতাত্ত্বিক নিদর্শন ও জাদুঘর,90.250145,23.518608,http://commons.wikimedia.org/wiki/Special:FilePath/Sir%20J%20C%20Buse%20complex%20building.jpg,,Wikidata,http://www.wikidata.org/entity/Q31724515
Q55232280,"এভিয়ারী ও ইকো-পার্ক, রাঙ্গুনিয়া, চট্টগ্রাম",পক্ষিশালা ও ইকোপার্ক,92.121044,22.4935384,http://commons.wikimedia.org/wiki/Special:FilePath/Entrance%20of%20the%20aviary.jpg,"https://en.wikipedia.org/wiki/Aviary_and_Eco-Park,_Rangunia",Wikidata,http://www.wikidata.org/entity/Q55232280
Q18988336,বীরশ্রেষ্ঠ মোস্তফা কামাল স্মৃতি জাদুঘর,,90.6321,22.66,http://commons.wikimedia.org/wiki/Special:FilePath/%E0%A6%AC%E0%A7%80%E0%A6%B0%E0%A6%B6%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%B7%E0%A7%8D%E0%A6%A0%20%E0%A6%AE%E0%A7%8B%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%AB%E0%A6%BE%20%E0%A6%95%E0%A6%BE%E0%A6%AE%E0%A6%BE%E0%A6%B2%20%E0%A6%B8%E0%A7%8D%E0%A6%AE%E0%A7%83%E0%A6%A4%E0%A6%BF%20%E0%A6%9C%E0%A6%BE%E0%A6%A6%E0%A7%81%E0%A6%98%E0%A6%B0.jpg,https://en.wikipedia.org/wiki/Bir_Sreshtho_Mostafa_Kamal_Memorial_Museum_and_Library,Wikidata,http://www.wikidata.org/entity/Q18988336
Q23044804,জাতীয় বিজ্ঞান ও প্রযুক্তি জাদুঘর,বাংলাদেশের রাজধানী ঢাকায় অবস্থিত একটি বিজ্ঞান ভিত্তিক জাদুঘর,90.3716,23.7788,http://commons.wikimedia.org/wiki/Special:FilePath/Bangladesh%20National%20Museum%20of%20Science%20and%20Technology%20Entrance.JPG,https://en.wikipedia.org/wiki/National_Museum_of_Science_and_Technology_(Bangladesh),Wikidata,http://www.wikidata.org/entity/Q23044804
Q29025197,কুমিল্লা চিড়িয়াখানা ও বোটানিক্যাল গার্ডেন,Cumilla Zoo and Botanical Garden,91.17138889,23.47222222,,https://en.wikipedia.org/wiki/Comilla_Zoo_and_Botanical_Garden,Wikidata,http://www.wikidata.org/entity/Q29025197
Q24206239,চট্টগ্রাম বিশ্ববিদ্যালয় জাদুঘর,চট্টগ্রাম বিশ্ববিদ্যালয়ের জাদুঘর,91.7844642,22.4704368,http://commons.wikimedia.org/wiki/Special:FilePath/Chittagong%20University%20Museum%20%2802%29.jpg,,Wikidata,http://www.wikidata.org/entity/Q24206239
Q51876,বাংলাদেশ জাতীয় জাদুঘর,বাংলাদেশের জাতীয় জাদুঘর,90.3941,23.73755,http://commons.wikimedia.org/wiki/Special:FilePath/Bangladesh%20National%20Museum%20%2801%29.jpg,https://en.wikipedia.org/wiki/Bangladesh_National_Museum,Wikidata,http://www.wikidata.org/entity/Q51876
Q63213189,চরমুগুরিয়া ইকোপার্ক,ইকোপার্ক,90.2067581,23.1744508,,https://en.wikipedia.org/wiki/Charmuguria_Eco-Park,Wikidata,http://www.wikidata.org/entity/Q63213189
Q13059828,শিল্পাচার্য জয়নুল লোক ও কারুশিল্প জাদুঘর,একটি লোক ও কারুশিল্প যাদুঘর,90.60158,23.6487,http://commons.wikimedia.org/wiki/Special:FilePath/Bust%20of%20Shilpacharya%20Zainul%20Abedin.jpg,https://en.wikipedia.org/wiki/Shilpacharya_Zainul_Folk_and_Craft_Museum,Wikidata,http://www.wikidata.org/entity/Q13059828
Q15217015,জাতি-তাত্ত্বিক জাদুঘর,চট্টগ্রামে অবস্থিত জাদুঘর,91.8128094,22.3280532,http://commons.wikimedia.org/wiki/Special:FilePath/Entrance%20of%20Ethnological%20Museum%20%2803%29.jpg,"https://en.wikipedia.org/wiki/Ethnological_Museum,_Chittagong",Wikidata,http://www.wikidata.org/entity/Q15217015
